#Campo Campo NPCSG00
Alcaravela Alcaravela NPCSG00
Alcaria Alcaria NPCSG00
Alcaçova Alcaçova NPFS000
Alcida Alcido NPFS000
Alcidama Alcidamo NPFS000
Alcidamo Alcidamo NPMS000
Alcido Alcido NPMS000
Alcinda Alcindo NPFS000
Alcindo Alcindo NPMS000
Alcino Alcino NPMS000
Alcino Alcino NPMSS00
Alcinos Alcinos NPMS000
Alcinos Alcinos NPMSS00
Alcoa Alcoa NPCSO00
Alcobaça Alcobaça NPCSG00
Alcobaça Alcobaça NPFSG00
Alcobaça Alcobaça NPMSG00
Alcobertas Alcobertas NPCSG00
Alcochete Alcochete NPCSG00
Alcochete Alcochete NPMSG00
Alcoentre Alcoentre NPCSG00
Alcoentre Alcoentre NPFSG00
Alcoforado Alcoforado NPMSS00
Alcofra Alcofra NPCSG00
Alcongosta Alcongosta NPCSG00
Alcorochel Alcorochel NPCSG00
Alcorão Alcorão NPMS000
Alcoutim Alcoutim NPCSG00
Alcoutim Alcoutim NPMSG00
Alcácer Alcácer NPMSG00
Alcáçova Alcáçova NPCSG00
Alcáçovas Alcáçovas NPCSG00
Alcântara Alcântara NPCSG00
Alcântara Alcântara NPFSG00
Alcântara Alcântara NPMSG00
Alcélia Alcélio NPFS000
Alcélio Alcélio NPMS000
Alcídia Alcídio NPFS000
Alcídio Alcídio NPMS000
Alcôrrego Alcôrrego NPCSG00
Alda Aldo NPFS000
Aldaíza Aldaíza NPFS000
Aldebarão Aldebarão NPMS000
Aldeberta Aldeberto NPFS000
Aldeberto Aldeberto NPMS000
Aldeias Aldeias NPCSG00
Aldemira Aldemiro NPFS000
Aldemiro Aldemiro NPMS000
Aldenira Aldenira NPFS000
Alderica Alderico NPFS000
Alderico Alderico NPMS000
Alderita Alderita NPFS000
Aldevina Aldevino NPFS000
Aldevino Aldevino NPMS000
Aldo Aldo NPMS000
Aldoar Aldoar NPCSG00
Aldobranda Aldobrando NPFS000
Aldobrando Aldobrando NPMS000
Aldonça Aldonça NPFS000
Aldora Aldora NPFSG00
Aldora Aldora NPMSG00
Aldreu Aldreu NPCSG00
Aldrovanda Aldrovando NPFS000
Aldrovando Aldrovando NPMS000
Aldão Aldão NPCSG00
Alea Aleo NPFS000
Alearda Aleardo NPFS000
Aleardo Aleardo NPMS000
Alectrosaurus Alectrosaurus NPCS000
Alegrete Alegrete NPCSG00
Alegro Alegro NPMS000
Aleister Aleister NPMS000
Aleixo Aleixo NPMS000
Aleixo Aleixo NPMSS00
Aleja Aleja NPFS000
Alejandra Alejandro NPFS000
Alejandrina Alejandrina NPFS000
Alejandro Alejandro NPMS000
Alemanha Alemanha NPFSG00
Alencar Alencar NPMSS00
Alencastra Alencastro NPFS000
Alencastro Alencastro NPMS000
Alenica Alenica NPFS000
Alenquer Alenquer NPCSG00
Alenquer Alenquer NPMSG00
Alentejo Alentejo NPMSG00
Aleo Aleo NPMS000
Alessandra Alessandro NPFS000
Alessandro Alessandro NPMS000
Alex Alex NPMS000
Alexa Alexa NPFS000
Alexander Alexander NPMS000
Alexandra Alexandra NPFS000
Alexandra Alexandra NPFSS00
Alexandra Alexandro NPFS000
Alexandre Alexandre NPMS000
Alexandre Alexandre NPMSS00
Alexandria Alexandria NPFSG00
Alexandria Alexandria NPMSG00
Alexandro Alexandro NPMS000
Alexeyevich Alexeyevich NPMS000
Alexina Alexino NPFS000
Alexino Alexino NPMS000
Alexsandra Alexsandro NPFS000
Alexsandro Alexsandro NPMS000
Alexânia Alexânia NPFS000
Alf Alf NPMS000
Alfaiates Alfaiates NPCSG00
Alfaião Alfaião NPCSG00
Alfarelos Alfarelos NPCSG00
Alfeizerão Alfeizerão NPCSG00
Alfena Alfena NPCSG00
Alferce Alferce NPCSG00
Alferrarede Alferrarede NPCSG00
Alfonsa Alfonso NPFS000
Alfonso Alfonso NPMS000
Alfornelos Alfornelos NPCSG00
Alfragide Alfragide NPCSG00
Alfragide Alfragide NPMSG00
Alfredina Alfredino NPFS000
Alfredinha Alfredinho NPFS000
Alfredinho Alfredinho NPMS000
Alfredino Alfredino NPMS000
Alfredo Alfredo NPMS000
Alfredo Alfredo NPMSS00
Alfredão Alfredão NPMS000
Alfundão Alfundão NPCSG00
Algarve Algarve NPMSG00
Algarves Algarves NPMSG00
Algarvia Algarvia NPCSG00
Algodres Algodres NPCSG00
Algodres Algodres NPMSG00
Algosinho Algosinho NPCSG00
Algoso Algoso NPCSG00
Algoz Algoz NPCSG00
Alguber Alguber NPCSG00
Algéria Algéria NPFSG00
Algés Algés NPCSG00
Algés Algés NPMSG00
Alhadas Alhadas NPCSG00
Alhais Alhais NPCSG00
Alhambra Alhambra NPFSG00
Alhambra Alhambra NPMSG00
Alhandra Alhandra NPCSG00
Alhandra Alhandra NPFSG00
Alhandra Alhandra NPMSG00
Alheira Alheira NPCSG00
Alhena Alhena NPFS000
Alhões Alhões NPCSG00
Alibaba Alibaba NPCSO00
Alibaba Alibaba NPMS000
Alicante Alicante NPMSG00
Alice Alice NPFS000
Alice Alice NPFSS00
Alijó Alijó NPCSG00
Alijó Alijó NPMSG00
Alisson Alisson NPMS000
Alita Alita NPFS000
Aliézia Aliézio NPFS000
Aliézio Aliézio NPMS000
Aljezur Aljezur NPCSG00
Aljezur Aljezur NPMSG00
Aljubarrota Aljubarrota NPFSG00
Aljubarrota Aljubarrota NPMSG00
Aljustrel Aljustrel NPCSG00
Aljustrel Aljustrel NPMSG00
Allen Allen NPMSS00
Allianz Allianz NPCSO00
Allison Allison NPMS000
Almacave Almacave NPCSG00
Almaceda Almaceda NPCSG00
Almada Almada NPCSG00
Almada Almada NPFSG00
Almada Almada NPMSG00
Almadina Almadino NPFS000
Almadino Almadino NPMS000
Almagesta Almagesto NPFS000
Almagesto Almagesto NPMS000
Almagreira Almagreira NPCSG00
Almalaguês Almalaguês NPCSG00
Almancil Almancil NPCSG00
Almançor Almançor NPMSS00
Almaça Almaça NPCSG00
Almeda Almeda NPFS000
Almedina Almedina NPCSG00
Almeida Almeida NPCSG00
Almeida Almeida NPMS000
Almeida Almeida NPMSS00
Almeirim Almeirim NPCSG00
Almeirim Almeirim NPMSG00
Almena Almeno NPFS000
Almendra Almendra NPCSG00
Almeno Almeno NPMS000
Almerica Almerico NPFS000
Almerico Almerico NPMS000
Almerinda Almerindo NPFS000
Almerindo Almerindo NPMS000
Almeta Almeta NPFS000
Almina Almino NPFS000
Almino Almino NPMS000
Almira Almiro NPFS000
Almiro Almiro NPMS000
Almodôvar Almodôvar NPCSG00
Almodôvar Almodôvar NPMSG00
