	BR	PT
imunoeletroforese/imunoelectroforese	imunoeletroforese	imunoeletroforese
inefetivo/inefectivo	inefetivo	inefetivo
infeção/infecção	infecção	infeção
infeciologia/infecciologia	infecciologia	infeciologia
infeciologista/infecciologista	infecciologista	infeciologista
infecionado/infeccionado	infeccionado	infecionado
infecionar/infeccionar	infeccionar	infecionar
infecioso/infeccioso	infeccioso	infecioso
infetada/infectada	infectada	infetada
infetado/infectado	infectado	infetado
infetante/infectante	infectante	infetante
infetar/infectar	infectar	infetar
infetável/infectável	infectável	infetável
infetologia/infectologia	infectologia	infetologia
infetológico/infectológico	infectológico	infetológico
infetuosidade/infectuosidade	infectuosidade	infetuosidade
infletir/inflectir	inflectir	infletir
infletir/inflectir	infletir	infletir
inflição/inflicção	inflicção	inflição
inflição/inflicção	inflição	inflição
infração/infracção	infração	infração
infrator/infractor	infrator	infrator
infratora/infractora	infratora	infratora
injetivo/injectivo	injetivo	injetivo
injeto/injecto	injeto	injeto
injetor/injector	injetor	injetor
inobjetividade/inobjectividade	inobjetividade	inobjetividade
inopético/inopéctico	inopético	inopético
inseticida/insecticida	inseticida	inseticida
inseticídio/insecticídio	inseticídio	inseticídio
inseto/insecto	inseto	inseto
inspetivo/inspectivo	inspetivo	inspetivo
insurrecionado/insurreccionado	insurrecionado	insurrecionado
insurrecional/insurreccional	insurrecional	insurrecional
insurrecionalmente/insurreccionalmente	insurrecionalmente	insurrecionalmente
insurrecionar/insurreccionar	insurrecionar	insurrecionar
insurrecionário/insurreccionário	insurrecionário	insurrecionário
insurrecionável/insurreccionável	insurrecionável	insurrecionável
insurrecionismo/insurreccionismo	insurrecionismo	insurrecionismo
insurreccionista/insurreccionista	insurreccionista	insurreccionista
insurreta/insurrecta	insurrecta	insurreta
insurreta/insurrecta	insurreta	insurreta
insurreto/insurrecto	insurrecto	insurreto
insurreto/insurrecto	insurreto	insurreto
insuscetível/insusceptível	insuscetível	insuscetível
interjecional/interjeccional	interjecional	interjecional
