#aciso=M;src: LT;
abestamento=M;src: LT;
abestruz=MF;src: LT;
abeta=F;src: LT;
abetarda=F;src: LT;
abetardinha=F;src: LT;
abete=M;src: LT;
abeto=M;src: LT;
abetoira=F;src: LT;
abetoiro=M;src: LT;
abetoninha=F;src: LT;
abetoura=F;src: LT;
abetouro=M;src: LT;
abetumador=M;src: LT;
abevacuação [pl. abevacuações]=F;src: LT;
abexim=MF;src: LT;
abibe=MF;src: LT;
abicadouro=M;src: LT;
abichorno=M;src: LT;
abideno=M;src: LT;
abidense=MF;src: LT;
abiegna=F;src: LT;
abieiro=M;src: LT;
abietato=M;src: LT;
abietina=F;src: LT;
abietite=F;src: LT;
abietínea=F;src: LT;
abigeato=M;src: LT;
abigoiro=M;src: LT;
abilasão [pl. abilasões]=M;src: LT;
abildegar=M;src: LT;
abileno=M;src: LT;
abinha=F;src: dim;
abio=M;src: LT;
abiofilia=F;src: LT;
abiogenesia=F;src: LT;
abiogenista=MF;src: LT;
abiogénese=F;src: LT;
abiogênese=F;src: LT;
abiose=F;src: LT;
abioto=M;src: LT;
abiotrofia=F;src: LT;
abipão [pl. abipões]=M;src: LT;
abirritação [pl. abirritações]=F;src: LT;
abiscoutador=M;src: LT;
abismamento=M;src: LT;
abismo=M;src: LT;
abispamento=M;src: LT;
abisso=M;src: LT;
abissínio abissínia=MF;src: LT;
abissólito=M;src: LT;
abita=F;src: LT;
abita=F;src: dim;
abitadura=F;src: LT;
abitinense=MF;src: LT;
abitoninha=F;src: LT;
abitureirense=MF;src: LT;
abiu=M;src: LT;
abiulense=MF;src: LT;
abixeiro=M;src: LT;
abiótica=F;src: LT;
abjeccionista=MF;src: LT;
abjecionista=MF;src: LT;
abjecto=M;src: LT;
abjecção [pl. abjecções]=F;src: LT;
abjeição [pl. abjeições]=F;src: LT;
abjeto=M;src: LT;
abjeção [pl. abjeções]=F;src: LT;
abjudicador abjudicadora=MF;src: LT;
abjudicante=MF;src: LT;
abjudicação [pl. abjudicações]=F;src: LT;
abjunção [pl. abjunções]=F;src: LT;
abjurador abjuradora=MF;src: LT;
abjuramento=M;src: LT;
abjurante=MF;src: LT;
abjuração [pl. abjurações]=F;src: LT;
ablactação [pl. ablactações]=F;src: LT;
ablamelária=F;src: LT;
ablaminária=F;src: LT;
ablaqueação [pl. ablaqueações]=F;src: LT;
ablativismo=M;src: LT;
ablativo=M;src: LT;
ablator=M;src: LT;
ablação [pl. ablações]=F;src: LT;
ablecto=M;src: LT;
ablefaria=F;src: LT;
ablefaroptose=F;src: LT;
ablegado=M;src: LT;
ablegador=M;src: LT;
ablegante=MF;src: LT;
ablegação [pl. ablegações]=F;src: LT;
ableitação [pl. ableitações]=F;src: LT;
ablepsia=F;src: LT;
abliteiro=M;src: LT;
ablitense=MF;src: LT;
ablocador=M;src: LT;
ablocatário=M;src: LT;
ablocação [pl. ablocações]=F;src: LT;
abluente=MF;src: LT;
ablutor=M;src: LT;
abluvião [pl. abluviões]=F;src: LT;
ablução [pl. abluções]=F;src: LT;
ablânia=F;src: LT;
abléfaro=M;src: LT;
ablúvio=M;src: LT;
abnegado=M;src: LT;
abnegador=M;src: LT;
abnegação [pl. abnegações]=F;src: LT;
abneto=M;src: LT;
