#aciso acisa=A;src: LT;
#cadelo cadela=A;src: LT;
#coiso coisa=A;src: LT;
#espaço espaça=A;src: LT; unusual Brazil
#ninguém=A;src: LT; wrong?
#rui=A;src: LT; unusual
#turbo turba=A;src: LT;
acanelado acanelada=A;src: LT;
acanelador acaneladora=A;src: LT;
acangaceirado acangaceirada=A;src: LT;
acangulado acangulada=A;src: LT;
acangundado acangundada=A;src: LT;
acanhado acanhada [sup. acanhadíssimo]=A;src: LT;
acanhador acanhadora=A;src: LT;
acanhotado acanhotada=A;src: LT;
acaniano acaniana=A;src: LT;
acanteirado acanteirada=A;src: LT;
acantilado acantilada=A;src: LT;
acantoado acantoada=A;src: LT;
acantocarpo acantocarpa=A;src: LT;
acantoceratídeo acantoceratídea=A;src: LT;
acantochanado acantochanada=A;src: LT;
acantocládio acantocládia=A;src: LT;
acantocárpio acantocárpia=A;src: LT;
acantocéfalo acantocéfala=A;src: LT;
acantodáctilo acantodáctila=A;src: LT;
acantoide=A;src: LT;
acantonado acantonada=A;src: LT;
acantope=A;src: LT;
acantopterígio acantopterígia=A;src: LT;
acantáceo acantácea=A;src: LT;
acantítico acantítica=A;src: LT;
acantófago acantófaga=A;src: LT;
acantófilo acantófila=A;src: LT;
acantóforo acantófora=A;src: LT;
acantóptero acantóptera=A;src: LT;
acantósico acantósica=A;src: LT;
acantótico acantótica=A;src: LT;
acanudado acanudada=A;src: LT;
acanulado acanulada=A;src: LT;
acanónico acanónica=A;src: LT;
acanônico acanônica=A;src: LT;
acapachado acapachada=A;src: LT;
acapadoçado acapadoçada=A;src: LT;
acapangado acapangada=A;src: LT;
acapelado acapelada=A;src: LT;
acapitulado acapitulada=A;src: LT;
acapno acapna=A;src: LT;
acapoeirado acapoeirada=A;src: LT;
acapotado acapotada=A;src: LT;
acaracolado acaracolada=A;src: LT;
acaramelado acaramelada=A;src: LT;
acaranguejado acaranguejada=A;src: LT;
acarapi=A;src: LT;
acarapuçado acarapuçada=A;src: LT;
acardumado acardumada=A;src: LT;
acardíaco acardíaca=A;src: LT;
acareado acareada=A;src: LT;
acareador acareadora=A;src: LT;
acareante=A;src: LT;
acariciador acariciadora=A;src: LT;
acariciante=A;src: LT;
acariciativo acariciativa=A;src: LT;
acaricida=A;src: LT;
acariciável=A;src: LT;
acarinhado acarinhada=A;src: LT;
acarinhador acarinhadora=A;src: LT;
acarinhável=A;src: LT;
acarino acarina=A;src: LT;
acarminado acarminada=A;src: LT;
acarnane=A;src: LT;
acarnaniano acarnaniana=A;src: LT;
acarnano acarnana=A;src: LT;
acarneirado acarneirada=A;src: LT;
acarneu acarneia=A;src: LT;
acarnânico acarnânica=A;src: LT;
acarnânio acarnânia=A;src: LT;
acarochado acarochada=A;src: LT;
acaroide=A;src: LT;
acaronita=A;src: LT;
acarotóxico acarotóxica=A;src: LT;
acarpelado acarpelada=A;src: LT;
acarpetado acarpetada=A;src: LT;
acarpo acarpa=A;src: LT;
acarrancado acarrancada=A;src: LT;
acarrapatado acarrapatada=A;src: LT;
acarraçado acarraçada=A;src: LT;
acarretador acarretadora=A;src: LT;
acarretável=A;src: LT;
acartador acartadora=A;src: LT;
acartolado acartolada=A;src: LT;
acartonado acartonada=A;src: LT;
acartuchado acartuchada=A;src: LT;
acartável=A;src: LT;
acarunchado acarunchada=A;src: LT;
acarídeo acarídea=A;src: LT;
acarígeno acarígena=A;src: LT;
acarófilo acarófila=A;src: LT;
acarófobo acarófoba=A;src: LT;
acasacado acasacada=A;src: LT;
acasalado acasalada=A;src: LT;
acascarrilhado acascarrilhada=A;src: LT;
acasernado acasernada=A;src: LT;
acasmurrado acasmurrada=A;src: LT;
acasquilhado acasquilhada=A;src: LT;
acastanhado acastanhada=A;src: LT;
acastelado acastelada=A;src: LT;
acastelhanado acastelhanada=A;src: LT;
acastiçado acastiçada=A;src: LT;
acastorado acastorada=A;src: LT;
acasulado acasulada=A;src: LT;
acasulador acasuladora=A;src: LT;
acatado acatada=A;src: LT;
acatador acatadora=A;src: LT;
acatafásico acatafásica=A;src: LT;
acatafático acatafática=A;src: LT;
acatalecto acatalecta=A;src: LT;
acataleto acataleta=A;src: LT;
acataléctico acataléctica=A;src: LT;
acataléptico acataléptica=A;src: LT;
acatapótico acatapótica=A;src: LT;
acatarrado acatarrada=A;src: LT;
acatarroado acatarroada=A;src: LT;
acatassolado acatassolada=A;src: LT;
acatastático acatastática=A;src: LT;
acatingado acatingada=A;src: LT;
acatitado acatitada=A;src: LT;
acatorzado acatorzada=A;src: LT;
acatártico acatártica=A;src: LT;
acatável=A;src: LT;
acatólico acatólica=A;src: LT;
acaudado acaudada=A;src: LT;
acaudalado acaudalada=A;src: LT;
acaudelador acaudeladora=A;src: LT;
acaudilhado acaudilhada=A;src: LT;
acaudilhador acaudilhadora=A;src: LT;
acaule=A;src: LT;
acaulescente=A;src: LT;
acauno acauna=A;src: LT;
acausto acausta=A;src: LT;
acautelado acautelada=A;src: LT;
acautelador acauteladora=A;src: LT;
acautelatório acautelatória=A;src: LT;
acautelável=A;src: LT;
acavalado acavalada=A;src: LT;
acavaleirado acavaleirada=A;src: LT;
acavaletado acavaletada=A;src: LT;
acaveirado acaveirada=A;src: LT;
acaçapado acaçapada=A;src: LT;
acaçapador acaçapadora=A;src: LT;
