Ortografia Antiga	Ortografia Nova
vintém-de-santo-antónio	vintém de Santo António
viola-da-terra	viola da terra
viola-de-amor	viola de amor
viola-de-arame	viola de arame
volta-no-meio	volta no meio
x-acto	x-ato
xifóide	xifoide
xilóide	xiloide
xistóide	xistoide
zé-da-véstia	zé da véstia
zé-dos-anzóis	zé dos anzois
zebróide	zebroide
zéida	zeida
zigotáctico	zigotático
zigotactismo	zigotatismo, zigotactismo
zoelectricidade	zoeletricidade
zoeléctrico	zoelétrico
zóico	zoico
zóide	zoide
zooelectricidade	zooeletricidade
zooeléctrico	zooelétrico
zoofitóide	zoofitoide
zoóide	zooide
zoóptico	zoótico
zootáctico	zootático
