Ortografia Antiga	Ortografia Nova
contra-resposta	contrarresposta
contra-retábulo	contrarretábulo
contra-revolta	contrarrevolta
contra-revolução	contrarrevolução
contra-revolucionar	contrarrevolucionar
contra-revolucionária	contrarrevolucionária
contra-revolucionário	contrarrevolucionário
contra-roda	contrarroda
contra-rotura	contrarrotura
contra-ruptura	contrarrutura
contra-safra	contrassafra
contra-seguro	contrasseguro
contra-selar	contrasselar
contra-selo	contrasselo
contra-senha	contrassenha
contra-senso	contrassenso
contra-significação	contrassignificação
contra-sinal	contrassinal
contra-sujeito	contrassujeito
contracção	contração
contracepção	contraceção
contraceptivo	contracetivo
contráctil	contráctil, contrátil
contractilidade	contractilidade, contratilidade
contractível	contractível, contratível
contractivo	contractivo, contrativo
contracto	contracto, contrato
contractura	contractura, contratura
contracturante	contracturante, contraturante
contrafacção	contrafação
contrafactor	contrafator
contraprojecto	contraprojeto
convector	convetor
convolvulóide	convolvuloide
coqueluchóide	coqueluchoide
cor-de-laranja	cor de laranja
cor-de-vinho	cor de vinho
coracóide	coracoide
coralóide	coraloide
corióide	corioide
coróide	coroide
coronóide	coronoide
corpo-a-corpo	corpo a corpo
correcção	correção
correccional	correcional
correccionalmente	correcionalmente
correctamente	corretamente
correctismo	corretismo
correctivamente	corretivamente
correctivo	corretivo
correcto	correto
corrector	corretor
correctora	corretora
correctoria	corretoria
correctório	corretório
correctriz	corretriz
correspectivo	correspetivo
corticóide	corticoide
corticosteróide	corticosteroide
cotilóide	cotiloide
couve-de-sabóia	couve-de-saboia
cova-do-ladrão	cova do ladrão
cranióide	cranioide
cravagem-do-centeio	cravagem do centeio
cretinóide	cretinoide
cricóide	cricoide
crinóide	crinoide
crioceróide	crioceroide
criptozóico	criptozoico
cristaleléctrico	cristalelétrico
cristalóide	cristaloide
criticóide	criticoide
cróia	croia
crotalóide	crotaloide
ctenóide	ctenoide
cubóide	cuboide
cujubibóia	cujubiboia
curral-de-trapiche	curral de trapiche
cururubóia	cururuboia
cutirreacção	cutirreação
dacrióide	dacrioide
dactilar	dactilar, datilar
dactiliográfico	dactiliográfico, datiliográfico
dactiliologia	dactiliologia, datiliologia
dactiliológico	dactiliológico, datiliológico
dactiliólogo	dactiliólogo, datiliólogo
dactiliomântico	dactiliomântico, datiliomântico
dactilofasia	dactilofasia, datilofasia
dactilógrafa	datilógrafa, dactilógrafa
dactilografado	datilografado, dactilografado
dactilografar	datilografar, dactilografar
dactilografia	datilografia, dactilografia
dactilograficamente	dactilograficamente, datilograficamente
dactilográfico	datilográfico, dactilográfico
dactilógrafo	dactilógrafo, datilógrafo
dactilograma	dactilograma, datilograma
dactilóide	dactiloide
dactilólobo	dactilólobo, datilólobo
dactilologia	dactilologia, datilologia
dactilológico	dactilológico, datilológico
dactilomante	dactilomante, datilomante
dactilomântico	dactilomântico, datilomântico
dactilonomia	dactilonomia, datilonomia
dactilóptero	dactilóptero, datilóptero
dactiloscopia	dactiloscopia, datiloscopia
dactiloscópico	dactiloscópico, datiloscópico
